Date,Close,High,Low,Open,Volume
2024-07-01,717.0,768.5,711.0,768.5,16808
2024-07-02,739.0,739.0,716.5,716.5,10103
2024-07-03,720.5,751.0,720.5,751.0,7633
2024-07-04,700.0,720.5,700.0,720.5,10094
2024-07-05,741.5,741.5,635.5,741.5,18456
2024-07-08,747.0,763.5,747.0,763.5,11664
2024-07-09,724.5,725.0,724.5,724.5,10065
2024-07-10,703.5,720.0,677.5,677.5,13073
2024-07-11,698.0,703.5,664.5,703.5,12383
2024-07-12,685.0,697.0,685.0,697.0,9904
2024-07-16,675.0,685.0,675.0,685.0,11013
2024-07-17,645.0,675.0,645.0,675.0,19797
2024-07-18,669.5,669.5,645.0,645.0,14642
2024-07-19,671.5,672.0,670.0,670.0,9025
2024-07-22,709.5,709.5,697.5,697.5,11322
2024-07-23,733.5,772.0,733.5,772.0,15291
2024-07-24,721.0,732.0,700.5,732.0,13352
2024-07-25,732.0,735.0,732.0,735.0,10324
2024-07-26,717.5,739.0,701.5,739.0,8013
2024-07-29,701.0,717.5,695.5,717.5,10663
2024-07-30,698.0,703.0,694.5,703.0,12859
2024-07-31,698.0,698.0,675.0,675.0,9834
2024-08-01,698.0,698.0,698.0,698.0,0
2024-08-02,698.0,698.0,698.0,698.0,0
2024-08-05,698.0,698.0,698.0,698.0,0
2024-08-06,698.0,698.0,698.0,698.0,0
2024-08-07,600.0,607.5,595.0,607.5,11166
2024-08-08,570.0,575.0,570.0,575.0,13860
2024-08-09,540.0,550.0,540.0,550.0,16549
2024-08-12,593.5,594.0,511.5,511.5,24986
2024-08-13,575.5,593.5,564.0,564.0,11509
2024-08-14,537.5,560.0,537.5,555.5,10330
2024-08-15,523.0,546.5,520.0,520.0,9948
2024-08-16,500.5,530.5,500.5,523.0,10561
2024-08-19,506.0,518.0,491.5,491.5,12688
2024-08-20,480.0,506.0,480.0,506.0,14570
2024-08-21,469.5,474.5,456.0,456.0,17152
2024-08-22,422.75,468.25,422.75,468.25,19246
2024-08-23,450.0,460.0,430.5,430.5,19333
2024-08-26,495.0,495.0,490.0,490.0,16539
2024-08-27,544.5,544.5,544.5,544.5,9654
2024-08-28,598.5,598.5,598.5,598.5,12438
2024-08-29,658.0,658.0,597.5,598.0,34860
2024-09-02,696.5,722.5,696.5,722.5,24330
2024-09-03,704.5,714.5,704.5,714.5,13735
2024-09-04,700.0,715.5,660.5,660.5,13481
2024-09-05,660.0,673.0,660.0,673.0,11273
2024-09-06,616.0,650.0,616.0,650.0,6321
2024-09-09,645.0,671.0,645.0,671.0,11419
2024-09-10,621.0,645.0,621.0,645.0,8686
2024-09-11,591.0,621.5,591.0,621.5,10272
2024-09-12,580.0,600.5,580.0,600.5,7066
2024-09-13,590.0,590.0,570.0,576.0,15063
2024-09-16,602.0,618.5,602.0,618.5,7341
2024-09-17,600.0,620.0,600.0,620.0,7566
2024-09-18,580.0,599.0,573.5,599.0,8202
2024-09-19,586.5,600.0,586.5,600.0,7431
2024-09-20,585.0,587.5,565.0,587.5,8531
2024-09-23,540.0,585.0,540.0,585.0,14254
2024-09-24,530.0,538.5,530.0,538.5,9062
2024-09-25,500.0,530.0,500.0,530.0,11515
2024-09-26,550.0,550.0,527.0,527.0,8847
2024-09-27,590.5,599.0,590.5,599.0,18159
2024-09-30,599.0,600.0,555.0,600.0,9686
2024-10-01,555.0,599.0,555.0,599.0,7908
2024-10-02,540.0,540.0,525.5,525.5,14048
2024-10-03,521.5,556.5,513.5,540.5,9073
2024-10-04,545.0,545.0,506.0,521.5,9331
2024-10-07,526.5,545.0,526.5,545.0,8826
2024-10-08,510.5,525.0,510.5,525.0,7800
2024-10-09,517.5,517.5,510.0,515.5,9199
2024-10-10,520.5,539.0,497.0,497.0,11133
2024-10-11,511.0,519.0,505.0,505.0,7713
2024-10-14,490.0,490.0,490.0,490.0,12138
2024-10-15,510.0,510.0,490.0,490.0,9102
2024-10-16,497.0,508.5,491.5,508.5,6753
2024-10-17,504.0,515.0,500.5,500.5,5496
2024-10-18,485.25,504.0,485.25,504.0,11145
2024-10-21,477.5,485.25,477.5,485.25,12208
2024-10-22,480.0,480.5,479.75,479.75,7160
2024-10-23,460.5,475.0,451.25,475.0,11698
2024-10-24,469.5,471.5,460.5,460.5,8450
2024-10-25,463.5,463.5,461.5,462.5,8115
2024-10-28,477.0,477.0,476.5,476.5,2575
2024-10-30,500.0,500.0,477.0,477.0,8777
2024-10-31,550.0,550.0,503.5,503.5,14449
2024-11-01,540.5,574.5,540.5,574.5,14226
2024-11-04,500.0,535.0,500.0,535.0,14267
2024-11-05,492.0,501.0,481.5,501.0,7448
2024-11-06,503.5,509.5,500.0,500.0,6512
2024-11-07,498.75,500.5,495.0,500.5,6359
2024-11-08,538.5,548.0,499.5,499.5,9570
2024-11-11,514.5,529.5,514.5,529.5,6657
2024-11-12,502.5,503.0,502.5,503.0,7749
2024-11-13,483.0,502.0,481.25,502.0,9219
2024-11-14,492.0,492.25,486.0,486.0,9127
2024-11-15,493.75,505.5,493.75,505.5,4767
2024-11-18,479.0,493.75,479.0,493.75,11241
2024-11-19,476.5,479.0,476.5,479.0,9098
2024-11-20,476.5,485.25,476.5,485.25,5373
2024-11-21,482.0,482.0,480.5,480.5,6253
2024-11-22,479.0,482.0,476.0,482.0,8878
2024-11-25,467.5,475.5,466.5,475.5,9151
2024-11-26,468.5,472.25,468.5,472.25,11246
2024-11-27,471.0,475.0,468.5,468.5,10417
2024-11-28,497.75,500.0,471.0,471.0,10759
2024-11-29,496.5,496.5,482.5,496.5,10487
2024-12-02,487.0,499.75,487.0,499.75,11765
2024-12-03,480.5,481.0,480.5,481.0,8668
2024-12-04,464.75,479.0,464.75,479.0,11946
2024-12-05,478.75,479.75,470.5,470.5,11350
2024-12-06,501.0,501.0,467.0,467.0,11324
2024-12-09,489.75,498.75,489.75,498.75,12280
2024-12-10,487.0,488.0,487.0,488.0,7047
2024-12-11,479.0,487.0,476.0,487.0,5140
2024-12-12,491.0,493.5,485.0,485.0,8205
2024-12-13,475.0,495.0,475.0,495.0,14556
2024-12-16,465.0,473.5,451.75,451.75,19989
2024-12-17,477.75,477.75,451.5,451.5,19810
2024-12-18,498.5,499.75,477.75,477.75,21980
2024-12-19,481.25,498.5,473.5,498.5,8256
2024-12-20,479.75,491.5,479.75,491.5,6766
2024-12-23,465.0,470.25,465.0,470.25,7755
2024-12-24,464.0,470.0,463.0,466.25,9745
2024-12-25,459.0,459.0,455.5,455.5,14658
2024-12-26,455.5,466.75,455.5,455.5,10586
2024-12-27,453.25,458.75,453.25,458.75,6589
2024-12-30,474.75,474.75,453.25,453.25,10251
2024-12-31,475.0,489.0,470.0,470.0,8947
2025-01-02,475.0,479.5,474.0,479.5,6927
2025-01-03,471.0,475.0,463.25,475.0,7703
2025-01-06,469.5,470.0,463.75,463.75,8689
2025-01-07,464.5,466.0,464.5,466.0,10176
2025-01-08,457.5,460.5,454.5,454.5,10660
2025-01-09,474.5,480.0,457.5,457.5,13779
2025-01-10,470.0,480.0,463.25,466.0,7389
2025-01-13,455.0,470.0,455.0,470.0,9778
2025-01-14,456.75,464.75,456.0,464.75,5822
2025-01-15,456.0,461.5,455.0,461.5,7160
2025-01-16,456.75,461.5,456.75,461.5,8293
2025-01-17,455.5,456.75,455.5,456.75,6687
2025-01-20,455.5,455.5,455.5,455.5,8031
2025-01-21,454.25,455.5,454.25,455.5,6288
2025-01-22,455.75,469.0,455.75,469.0,7488
2025-01-23,450.0,455.5,450.0,455.5,8519
2025-01-24,450.0,450.0,447.25,450.0,6157
2025-01-27,440.0,450.0,440.0,450.0,9534
2025-01-28,450.0,450.5,435.25,440.0,7808
2025-01-29,447.5,450.75,447.5,450.75,8887
2025-01-30,447.5,447.5,447.0,447.5,6428
2025-01-31,448.0,456.25,448.0,456.25,5865
2025-02-03,430.0,447.5,430.0,447.5,9459
2025-02-04,432.0,436.75,432.0,435.75,6526
2025-02-05,421.0,428.5,421.0,428.5,13262
2025-02-06,420.0,438.0,420.0,438.0,5199
2025-02-07,420.0,420.0,415.0,419.0,8933
2025-02-10,416.0,418.0,416.0,418.0,6180
2025-02-11,406.5,413.0,406.5,413.0,8825
2025-02-12,408.75,417.0,405.0,417.0,8218
2025-02-13,400.5,408.75,390.25,408.75,8745
2025-02-14,393.0,400.5,393.0,400.5,7475
2025-02-17,410.25,410.75,400.0,400.0,10129
2025-02-18,451.25,451.25,409.0,409.0,9824
2025-02-19,460.0,471.5,460.0,471.5,15192
2025-02-20,478.0,478.0,449.5,449.5,7590
2025-02-21,443.0,485.0,430.25,485.0,10484
2025-02-24,487.25,487.25,456.0,456.0,11474
2025-02-25,480.0,500.0,480.0,500.0,11132
2025-02-26,463.0,490.0,463.0,490.0,7392
2025-02-27,449.25,463.0,449.25,463.0,8975
2025-02-28,451.0,459.0,451.0,459.0,5919
2025-03-03,462.0,469.0,462.0,469.0,6625
2025-03-04,443.5,462.0,440.0,462.0,7889
2025-03-05,436.75,440.75,436.75,440.75,9044
2025-03-06,437.75,447.25,437.75,447.25,5048
2025-03-07,460.0,460.0,439.0,440.0,10385
2025-03-10,470.0,480.25,470.0,480.25,7018
2025-03-11,465.75,470.0,465.75,470.0,4393
2025-03-12,500.0,500.0,482.0,482.0,20895
2025-03-13,550.0,550.0,526.0,526.0,14990
2025-03-14,597.0,597.0,550.0,550.0,15678
2025-03-17,625.0,625.0,597.0,597.0,23577
2025-03-18,570.0,621.0,570.0,621.0,16823
2025-03-19,513.0,513.0,513.0,513.0,17418
2025-03-20,564.0,564.0,492.25,492.25,26470
2025-03-21,508.0,550.0,508.0,550.0,20915
2025-03-24,515.0,527.0,515.0,521.0,15314
2025-03-25,525.5,536.0,525.5,536.0,11581
2025-03-26,500.0,516.0,500.0,516.0,13107
2025-03-27,503.0,510.0,503.0,510.0,12912
2025-03-28,500.0,510.0,490.0,510.0,10563
2025-04-02,486.0,501.0,480.0,501.0,12479
2025-04-03,484.0,487.0,479.75,479.75,13222
2025-04-04,474.0,484.0,468.0,484.0,11682
2025-04-07,458.75,465.25,443.5,443.5,16251
2025-04-08,458.25,461.75,458.25,461.75,12111
2025-04-09,445.0,450.0,445.0,450.0,10614
2025-04-10,435.0,464.0,435.0,464.0,13313
2025-04-11,437.25,437.25,433.0,436.75,12417
2025-04-14,440.0,450.0,424.0,424.0,14608
2025-04-15,434.75,441.75,433.0,440.0,10856
2025-04-16,428.75,434.75,428.75,434.75,8882
2025-04-17,436.0,436.0,428.75,428.75,6985
2025-04-18,433.75,448.25,433.25,448.25,10376
2025-04-21,428.25,429.5,422.0,422.0,10571
2025-04-22,423.0,428.25,423.0,428.25,8985
2025-04-24,420.0,420.0,408.25,408.25,9857
2025-04-25,425.0,425.0,424.0,425.0,7361
2025-04-28,415.0,425.0,415.0,425.0,10470
2025-04-29,406.0,415.0,406.0,415.0,10531
2025-04-30,408.0,408.0,396.25,406.5,18901
2025-05-02,412.5,422.75,412.5,419.25,9161
2025-05-05,410.0,410.0,400.0,410.0,16624
2025-05-06,400.0,409.0,400.0,409.0,12129
2025-05-07,392.0,400.0,392.0,400.0,11059
2025-05-08,393.75,398.0,390.0,398.0,10080
2025-05-09,399.5,400.0,398.75,398.75,9021
2025-05-12,438.75,438.75,393.0,407.5,14803
2025-05-13,416.25,425.0,416.25,425.0,7724
2025-05-14,410.0,413.0,410.0,413.0,9516
2025-05-15,400.0,404.0,400.0,404.0,10404
2025-05-16,399.0,400.0,399.0,400.0,7124
2025-05-20,393.25,399.0,392.5,399.0,7388
2025-05-21,392.0,392.75,392.0,392.0,8211
2025-05-22,387.75,387.75,381.5,381.5,11428
2025-05-23,385.25,385.25,384.75,384.75,6547
2025-05-26,390.0,390.0,387.0,387.0,7951
2025-05-27,381.0,390.0,381.0,390.0,8073
2025-05-28,366.5,377.0,366.5,377.0,10605
2025-05-29,357.25,368.75,357.25,368.75,9174
2025-05-30,359.75,370.0,359.75,370.0,9458
2025-06-02,355.0,359.75,355.0,359.75,6451
2025-06-03,363.5,363.5,355.0,355.0,5018
2025-06-04,381.0,381.0,363.75,369.5,6323
2025-06-05,371.75,381.0,365.25,381.0,3429
2025-06-10,383.5,389.75,381.0,381.0,9079
2025-06-11,380.0,383.0,380.0,383.0,4702
2025-06-12,375.5,376.75,375.5,376.75,7216
2025-06-13,361.75,361.75,351.5,351.5,9304
2025-06-16,360.0,361.75,360.0,361.75,12087
2025-06-17,373.0,380.0,357.25,357.25,9281
2025-06-18,365.0,366.0,353.25,366.0,6950
2025-06-19,355.75,363.0,354.0,354.0,6091
2025-06-20,350.75,353.0,350.75,353.0,8328
2025-06-23,339.5,348.25,339.5,348.25,7963
2025-06-24,345.0,355.0,345.0,355.0,6795
2025-06-25,353.0,355.0,353.0,355.0,5117
2025-06-26,355.5,355.75,355.5,355.5,5812
2025-06-27,375.0,375.0,350.25,355.5,7557
2025-06-30,385.75,388.75,385.75,388.75,10778
2025-07-01,377.75,397.0,377.75,397.0,6278
